address, price, size, price_per_area
Mäkelänkatu 93 A8,523350,90,5815.0
Mäkelänkatu 93 C37,597713,115.5,5175.004329004329
Mäkelänkatu 93 C36,619440,116,5340.0
Mäkelänkatu 93 C35,635250,115.5,5500.0
Mäkelänkatu 93 B17,289800,42,6900.0
Mäkelänkatu 93 B21,298200,42,7100.0
Mäkelänkatu 93 B19,418500,67.5,6200.0
Mäkelänkatu 93 B26,306600,42,7300.0
Mäkelänkatu 93 B31,319200,42,7600.0
Mäkelänkatu 93 B30,299063,43.5,6875.0114942528735
Mäkelänkatu 93 B25,286013,43.5,6575.0114942528735
Mäkelänkatu 93 B20,277313,43.5,6375.0114942528735
Mäkelänkatu 93 B16,269700,43.5,6200.0
Mäkelänkatu 93 B34,398250,59,6750.0
Mäkelänkatu 93 B29,386450,59,6550.0
Mäkelänkatu 93 B24,374650,59,6350.0
Mäkelänkatu 93 A15,432250,65,6650.0
Mäkelänkatu 93 A11,419250,65,6450.0
Mäkelänkatu 93 A7,406250,65,6250.0
Mäkelänkatu 93 A12,558000,90,6200.0
Mäkelänkatu 93 A4,497750,90.5,5500.0
Mäkelänkatu 93 B33,235200,28,8400.0
Mäkelänkatu 93 B32,235200,28,8400.0
Mäkelänkatu 93 B28,231000,28,8250.0
Mäkelänkatu 93 B27,231000,28,8250.0
Mäkelänkatu 93 B23,228900,28,8175.0
Mäkelänkatu 93 B22,228900,28,8175.0
Mäkelänkatu 93 B18,226800,28,8100.0
Mäkelänkatu 93 A14,235200,28,8400.0
Mäkelänkatu 93 A13,235200,28,8400.0
Mäkelänkatu 93 A10,231000,28,8250.0
Mäkelänkatu 93 A9,231000,28,8250.0
Mäkelänkatu 93 A6,228900,28,8175.0
Mäkelänkatu 93 A5,228900,28,8175.0
Mäkelänkatu 93 A3,444000,74,6000.0
Mäkelänkatu 93 A2,226800,28,8100.0
Mäkelänkatu 93 A1,477388,90.5,5275.005524861878
Koskelantie 64 B 82,287000,45,6377.777777777777
Koskelantie 64A A 29,210000,28,7500.0
Koskelantie 64A B 51,269000,45,5977.777777777777
Koskelantie 64 B 53,356000,61.5,5788.617886178862
Koskelantie 64 A 36,215000,28,7678.571428571428
Koskelantie 64 B 74,380000,61.5,6178.861788617886
Koskelantie 64 B 66,281000,47.5,5915.789473684211
Koskelantie 64 B 69,284000,45,6311.111111111111
Koskelantie 64 A 43,220000,28,7857.142857142857
Koskelantie 64 B 52,275000,47,5851.063829787234
Koskelantie 64 B 63,277000,45,6155.555555555556
Koskelantie 64 A 15,200000,28,7142.857142857143
Koskelantie 64 A 28,225000,30,7500.0
Koskelantie 64 B 70,284000,45,6311.111111111111
Koskelantie 64 B 76,291000,45,6466.666666666667
Koskelantie 64A B 71,293000,45,6511.111111111111
Koskelantie 64a B 56,270000,45,6000.0
Koskelantie 64 B 90,305000,45,6777.777777777777
Koskelantie 64 B 67,372000,61.5,6048.780487804878
Koskelantie 64 B 49,260000,45,5777.777777777777
Koskelantie 64 A 37,219000,27.5,7963.636363636364
Koskelantie 64A B 89,294000,45,6533.333333333333
Koskelantie 64 A 45,219000,27,8111.111111111111
Koskelantie 64 B 91,305000,45,6777.777777777777
Koskelantie 64A B 81,388000,61.5,6308.943089430894
Koskelantie 64A B 68,273000,45,6066.666666666667
Koskelantie 64A A 44,224000,27.5,8145.454545454545
Koskelantie 64 B 73,288000,47.5,6063.1578947368425
Koskelantie 64 A 39,217000,30,7233.333333333333
Koskelantie 64 B 60,364000,61.5,5918.69918699187
Koskelantie 64 A 40,257000,39.5,6506.329113924051
Koskelantie 64 A 38,214000,27,7925.925925925926
